title,adult,genres,original_language,popularity,release_date,runtime,vote_count,actors,director,keywords,rounded_averages,num_genres,main_genre,num_actors,main_actor,release_year,log_vote_count,log_popularity,log_runtime
Simulant,False,"['Science Fiction', 'Thriller']",en,20.14,2023-03-29,95.0,135.0,"['Robbie Amell', 'Jordana Brewster', 'Simu Liu', 'Sam Worthington']",Unknown,"['android', 'artificial intelligence (a.i.)', 'synthetic human', 'synth', 'turing test', 'human android relationship', 'malfunctioning android']",5.9,0.0,,0.0,,2023,4.912654885736052,3.051166980442092,4.564348191467836
Last Vegas,False,['Comedy'],en,15.794,2013-10-31,105.0,2033.0,"['Robert De Niro', 'Morgan Freeman', 'Michael Douglas', 'Kevin Kline']",Unknown,"['florida', 'new york city', 'california', 'new jersey', 'casino', 'drag queen', 'married couple', 'sarcasm', 'male friendship', 'grandfather', 'malibu', 'stag night', 'las vegas', 'older man younger woman relationship', 'divorced', 'widower', 'brooklyn, new york city', 'group of friends', 'childhood friends', 'military veteran', 'elderly', 'bachelor party']",6.4,0.0,,0.0,,2013,7.617759576608505,2.8210216797613716,4.663439094112067
Children Who Chase Lost Voices,False,"['Animation', 'Adventure', 'Drama', 'Fantasy', 'Romance']",ja,15.519,2011-05-07,116.0,650.0,"['Hisako Kanemoto', 'Kazuhiko Inoue', 'Miyu Irino', 'Rina Hidaka']",Unknown,"['life and death', 'supernatural', 'rescue mission', 'female protagonist', 'spirit', 'adult animation', 'anime']",7.2,0.0,,0.0,,2011,6.478509642208569,2.8045112335730034,4.762173934797756
Conan the Barbarian,False,"['Adventure', 'Fantasy', 'Action']",en,40.68,1982-04-02,129.0,2316.0,"['Arnold Schwarzenegger', 'James Earl Jones', 'Max von Sydow', 'Sandahl Bergman']",Unknown,"['epic', 'based on novel or book', 'gladiator', 'fight', 'magic', 'repayment', 'mythology', 'despot', 'black magic', 'warlord', 'stone age', 'thief', 'barbarian', 'wizard', 'warrior', 'serpent', 'action hero', 'sword and sorcery', 'mysticism', 'good versus evil']",6.8,0.0,,0.0,,1982,7.748028524432376,3.7300213974451113,4.867534450455582
The Terminator,False,"['Action', 'Thriller', 'Science Fiction']",en,60.197,1984-10-26,108.0,12203.0,"['Linda Hamilton', 'Michael Biehn', 'Arnold Schwarzenegger', 'Lance Henriksen']",Unknown,"['artificial intelligence (a.i.)', 'saving the world', 'laser gun', 'cyborg', 'killer robot', 'shotgun', 'rebel', 'dystopia', 'villain', 'time travel', 'slasher', 'los angeles, california', 'urban setting', 'future war', 'savior', 'tech noir', 'time paradox', 'action hero', 'griffith observatory', 'good versus evil', 'terminator']",7.7,0.0,,0.0,,1984,9.40951904583656,4.114098168708937,4.6913478822291435
The Star,False,"['Comedy', 'Adventure', 'Family', 'Fantasy', 'Animation']",en,18.244,2017-11-15,86.0,517.0,"['Steven Yeun', 'Gina Rodriguez', 'Zachary Levi', 'Keegan-Michael Key']",Unknown,"['christmas', 'cartoon donkey']",6.3,0.0,,0.0,,2017,6.249975242259483,2.9571993238372074,4.465908118654584
Skyscraper,False,"['Action', 'Thriller', 'Adventure']",en,25.133,2018-07-11,102.0,4714.0,"['Dwayne Johnson', 'Neve Campbell', 'Chin Han', 'Roland Møller']",Unknown,"['fire', 'china', 'skyscraper', 'hong kong', 'high tech', 'security system', 'pearl', 'penthouse', ""world's tallest building"", 'trapped in burning building']",6.3,0.0,,0.0,,2018,8.458504195067558,3.2631988835048644,4.634728988229636
Skin Trade,False,"['Thriller', 'Action', 'Drama']",en,15.638,2014-11-07,96.0,248.0,"['Dolph Lundgren', 'Tony Jaa', 'Ron Perlman', 'Celina Jade']",Unknown,"['martial arts', 'human trafficking', 'bangkok, thailand', 'muay thai', 'rogue cop', 'sex slavery']",6.1,0.0,,0.0,,2014,5.517452896464707,2.811689235861696,4.574710978503383
The Strays,False,['Thriller'],en,18.072,2023-02-17,100.0,323.0,"['Ashley Madekwe', 'Justin Salinger', 'Jorden Myrie', 'Bukky Bakray']",Unknown,[],5.5,0.0,,0.0,,2023,5.780743515792329,2.9482212908829393,4.61512051684126
When a Stranger Calls,False,"['Horror', 'Mystery']",en,16.908,2006-02-03,87.0,990.0,"['Camilla Belle', 'Katie Cassidy', 'Tommy Flanagan', 'Brian Geraghty']",Unknown,"['loss of loved one', 'babysitter', 'killer', 'strange person', 'call']",5.7,0.0,,0.0,,2006,6.898714534329988,2.8852475403787192,4.477336814478207
