title,adult,genres,original_language,popularity,runtime,vote_average,vote_count,actors,director,keywords,release_year
Aquaman and the Lost Kingdom,False,"['Action', 'Adventure', 'Fantasy']",en,5841.384,124,7.013,1156,"['Jason Momoa', 'Patrick Wilson', 'Yahya Abdul-Mateen II', 'Randall Park']",['James Wan'],"['superhero', 'secret society', 'half-brother', 'sequel', 'revenge', 'dysfunctional relationship', 'dc extended universe (dceu)', 'ancient evil', 'underwater world', 'vengeance', 'brother brother relationship']",2023
Wonka,False,"['Comedy', 'Family', 'Fantasy']",en,2333.391,117,7.2,1660,"['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Hugh Grant']",['Paul King'],"['chocolate', 'musical', 'prequel', 'duringcreditsstinger']",2023
Wish,False,"['Animation', 'Family', 'Fantasy', 'Adventure']",en,1662.711,95,6.638,538,"['Ariana DeBose', 'Chris Pine', 'Alan Tudyk', 'Angelique Cabral']",['Chris Buck'],"['friendship', 'musical', 'computer animation', 'female protagonist', 'betrayal by friend', 'aftercreditsstinger', 'woman director', 'disabled person', 'star', 'corrupt government']",2023
Migration,False,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action']",en,1486.31,83,7.83,390,"['Kumail Nanjiani', 'Elizabeth Banks', 'Caspar Jennings', 'Tresi Gazal']",['Benjamin Renner'],"['duck', 'migration', 'flight', 'anthropomorphism', 'animal', 'overprotective father', 'bird']",2023
The Marvels,False,"['Science Fiction', 'Adventure', 'Action']",en,1397.918,105,6.415,1328,"['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Zawe Ashton']",['Nia DaCosta'],"['hero', 'superhero', 'space travel', 'based on comic', 'sequel', 'teenage girl', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'space adventure']",2023
Sixty Minutes,False,"['Action', 'Drama']",de,1028.278,89,6.912,170,"['Emilio Sakraya', 'Dennis Mojen', 'Marie Mouroum', 'Florian Schmidtke']",['Oliver Kienle'],[],2024
Patriots Time,False,"['Action', 'War']",ru,830.989,101,9.7,16,"['Daniyar Alshinov', 'Sanurzhan Suleymenov', 'Dasten Shakirov', 'Sayat Isembayev']",['Serikbol Utepbergenov'],[],2022
Radical,False,['Drama'],en,774.377,127,8.626,139,"['Eugenio Derbez', 'Daniel Haddad', 'Jennifer Trejo', 'Mia Fernanda Solis']",['Christopher Zalla'],"['usa–mexico border', 'teachers and students', 'border town']",2023
Attack,False,"['Action', 'Science Fiction', 'Thriller']",hi,751.443,123,7.412,85,"['John Abraham', 'Serena Walia', 'Rakul Preet Singh', 'Prakash Raj']",['Lakshya Raj Anand'],"['parliament', 'super soldier', 'soldier', 'indian army']",2022
Lift,False,"['Action', 'Comedy', 'Crime', 'Drama']",en,740.964,106,6.499,616,"['Kevin Hart', 'Gugu Mbatha-Raw', 'Sam Worthington', ""Vincent D'Onofrio""]",['F. Gary Gray'],"['gold', 'gang of thieves', 'heist', 'airplane hijacking', 'caper comedy', 'terrorist group', 'cyber terrorism', 'international manhunt', 'plane', 'art heist', 'gold heist']",2024
Napoleon,False,"['History', 'War', 'Drama']",en,725.308,158,6.533,1507,"['Joaquin Phoenix', 'Vanessa Kirby', 'Rupert Everett', 'Mark Bonnar']",['Ridley Scott'],"['empire', 'france', 'biography', 'napoleon bonaparte', 'based on true story', 'napoleonic wars', '19th century', 'biopic']",2023
Society of the Snow,False,"['Drama', 'History']",es,668.258,144,8.104,1543,"['Enzo Vogrincic', 'Agustín Pardella', 'Matías Recalt', 'Tomas Wolf']",['J. A. Bayona'],"['rescue', 'friendship', 'based on novel or book', 'prayer', '1970s', 'based on true story', 'rugby', 'uruguay', 'struggle for survival', 'mountain climbing', 'andes mountains', 'historical drama', 'plane crash']",2023
The Beekeeper,False,"['Action', 'Thriller', 'Drama']",en,647.361,105,7.331,284,"['Jason Statham', 'Emmy Raver-Lampman', 'Bobby Naderi', 'Josh Hutcherson']",['David Ayer'],"['potus', 'secret government agency', 'fbi agent', 'beekeepers', 'scammer', 'scam call center', 'retired assassin']",2024
Anyone But You,False,"['Comedy', 'Romance']",en,555.055,104,7.446,168,"['Sydney Sweeney', 'Glen Powell', 'Alexandra Shipp', 'Michelle Hurd']",['Will Gluck'],"['australia', 'hiking', 'college', 'romantic comedy', 'based on play or musical', 'shakespeare in modern dress', 'aftercreditsstinger', 'duringcreditsstinger', 'fake dating', ""sister's wedding"", 'much ado about nothing']",2023
Role Play,False,"['Action', 'Comedy', 'Romance']",en,510.517,101,6.067,253,"['Kaley Cuoco', 'David Oyelowo', 'Bill Nighy', 'Connie Nielsen']",['Thomas Vincent'],"['assassin', 'husband wife relationship', 'secret life', 'hired killer', 'secretive wife', 'clueless husband', 'mother daughter relationship', 'berlin', 'woman spy']",2023
