id,title,adult,genres,original_language,popularity,release_date,runtime,vote_average,vote_count,actors,director,keywords,release_year,num_genres,main_genre,num_actors,main_actor,rounded_averages,log_vote_count,log_popularity,log_runtime
572802,Aquaman and the Lost Kingdom,False,"['Action', 'Adventure', 'Fantasy']",en,5841.384,2023-12-20,124,7.013,1156,"['Jason Momoa', 'Patrick Wilson', 'Yahya Abdul-Mateen II', 'Randall Park']",James Wan,"['superhero', 'secret society', 'half-brother', 'sequel', 'revenge', 'dysfunctional relationship', 'dc extended universe (dceu)', 'ancient evil', 'underwater world', 'vengeance', 'brother brother relationship']",2023,3,Action,4,Jason Momoa,7.0,7.053585727193677,8.672894211701575,4.8283137373023015
787699,Wonka,False,"['Comedy', 'Family', 'Fantasy']",en,2333.391,2023-12-06,117,7.2,1660,"['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Hugh Grant']",Paul King,"['chocolate', 'musical', 'prequel', 'duringcreditsstinger']",2023,3,Comedy,4,Timothée Chalamet,7.2,7.415175109613295,7.7555063223806915,4.770684624465665
1022796,Wish,False,"['Animation', 'Family', 'Fantasy', 'Adventure']",en,1662.711,2023-11-13,95,6.638,538,"['Ariana DeBose', 'Chris Pine', 'Alan Tudyk', 'Angelique Cabral']",Chris Buck,"['friendship', 'musical', 'computer animation', 'female protagonist', 'betrayal by friend', 'aftercreditsstinger', 'woman director', 'disabled person', 'star', 'corrupt government']",2023,4,Animation,4,Ariana DeBose,6.6,6.289715570908998,7.4168059284127885,4.564348191467836
940551,Migration,False,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action']",en,1486.31,2023-12-06,83,7.83,390,"['Kumail Nanjiani', 'Elizabeth Banks', 'Caspar Jennings', 'Tresi Gazal']",Benjamin Renner,"['duck', 'migration', 'flight', 'anthropomorphism', 'animal', 'overprotective father', 'bird']",2023,5,Animation,4,Kumail Nanjiani,7.8,5.968707559985366,7.3047243981690375,4.430816798843313
609681,The Marvels,False,"['Science Fiction', 'Adventure', 'Action']",en,1397.918,2023-11-08,105,6.415,1328,"['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Zawe Ashton']",Nia DaCosta,"['hero', 'superhero', 'space travel', 'based on comic', 'sequel', 'teenage girl', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'space adventure']",2023,3,Science Fiction,4,Brie Larson,6.4,7.192182058713246,7.243454359652444,4.663439094112067
1212073,Sixty Minutes,False,"['Action', 'Drama']",de,1028.278,2024-01-19,89,6.912,170,"['Emilio Sakraya', 'Dennis Mojen', 'Marie Mouroum', 'Florian Schmidtke']",Oliver Kienle,[],2024,2,Action,4,Emilio Sakraya,6.9,5.14166355650266,6.936612864554942,4.499809670330265
965571,Patriots Time,False,"['Action', 'War']",ru,830.989,2022-04-28,101,9.7,16,"['Daniyar Alshinov', 'Sanurzhan Suleymenov', 'Dasten Shakirov', 'Sayat Isembayev']",Serikbol Utepbergenov,[],2022,2,Action,4,Daniyar Alshinov,9.7,2.833213344056216,6.723819219579962,4.624972813284271
1058694,Radical,False,['Drama'],en,774.377,2023-10-19,127,8.626,139,"['Eugenio Derbez', 'Daniel Haddad', 'Jennifer Trejo', 'Mia Fernanda Solis']",Christopher Zalla,"['usa–mexico border', 'teachers and students', 'border town']",2023,1,Drama,4,Eugenio Derbez,8.6,4.941642422609304,6.653349362687021,4.852030263919617
799155,Attack,False,"['Action', 'Science Fiction', 'Thriller']",hi,751.443,2022-04-01,123,7.412,85,"['John Abraham', 'Serena Walia', 'Rakul Preet Singh', 'Prakash Raj']",Lakshya Raj Anand,"['parliament', 'super soldier', 'soldier', 'indian army']",2022,3,Action,4,John Abraham,7.4,4.454347296253507,6.623325246245738,4.820281565605037
955916,Lift,False,"['Action', 'Comedy', 'Crime', 'Drama']",en,740.964,2024-01-10,106,6.499,616,"['Kevin Hart', 'Gugu Mbatha-Raw', 'Sam Worthington', ""Vincent D'Onofrio""]",F. Gary Gray,"['gold', 'gang of thieves', 'heist', 'airplane hijacking', 'caper comedy', 'terrorist group', 'cyber terrorism', 'international manhunt', 'plane', 'art heist', 'gold heist']",2024,4,Action,4,Kevin Hart,6.5,6.424869023905388,6.609300724470152,4.672828834461906
753342,Napoleon,False,"['History', 'War', 'Drama']",en,725.308,2023-11-22,158,6.533,1507,"['Joaquin Phoenix', 'Vanessa Kirby', 'Rupert Everett', 'Mark Bonnar']",Ridley Scott,"['empire', 'france', 'biography', 'napoleon bonaparte', 'based on true story', 'napoleonic wars', '19th century', 'biopic']",2023,3,History,4,Joaquin Phoenix,6.5,7.318539548567902,6.587974167283665,5.0689042022202315
906126,Society of the Snow,False,"['Drama', 'History']",es,668.258,2023-12-13,144,8.104,1543,"['Enzo Vogrincic', 'Agustín Pardella', 'Matías Recalt', 'Tomas Wolf']",J. A. Bayona,"['rescue', 'friendship', 'based on novel or book', 'prayer', '1970s', 'based on true story', 'rugby', 'uruguay', 'struggle for survival', 'mountain climbing', 'andes mountains', 'historical drama', 'plane crash']",2023,2,Drama,4,Enzo Vogrincic,8.1,7.342131730584722,6.506169636008509,4.976733742420574
866398,The Beekeeper,False,"['Action', 'Thriller', 'Drama']",en,647.361,2024-01-10,105,7.331,284,"['Jason Statham', 'Emmy Raver-Lampman', 'Bobby Naderi', 'Josh Hutcherson']",David Ayer,"['potus', 'secret government agency', 'fbi agent', 'beekeepers', 'scammer', 'scam call center', 'retired assassin']",2024,3,Action,4,Jason Statham,7.3,5.652489180268651,6.474447639995799,4.663439094112067
1072790,Anyone But You,False,"['Comedy', 'Romance']",en,555.055,2023-12-21,104,7.446,168,"['Sydney Sweeney', 'Glen Powell', 'Alexandra Shipp', 'Michelle Hurd']",Will Gluck,"['australia', 'hiking', 'college', 'romantic comedy', 'based on play or musical', 'shakespeare in modern dress', 'aftercreditsstinger', 'duringcreditsstinger', 'fake dating', ""sister's wedding"", 'much ado about nothing']",2023,2,Comedy,4,Sydney Sweeney,7.4,5.1298987149230735,6.320867210221546,4.653960350157523
848187,Role Play,False,"['Action', 'Comedy', 'Romance']",en,510.517,2023-12-14,101,6.067,253,"['Kaley Cuoco', 'David Oyelowo', 'Bill Nighy', 'Connie Nielsen']",Thomas Vincent,"['assassin', 'husband wife relationship', 'secret life', 'hired killer', 'secretive wife', 'clueless husband', 'mother daughter relationship', 'berlin', 'woman spy']",2023,3,Action,4,Kaley Cuoco,6.1,5.537334267018537,6.237380820421014,4.624972813284271
