id,title,adult,genres,original_language,popularity,release_date,runtime,vote_average,vote_count,actors,director,keywords
572802,Aquaman and the Lost Kingdom,False,"['Action', 'Adventure', 'Fantasy']",en,5841.384,2023-12-20,124,7.013,1156,"['Jason Momoa', 'Patrick Wilson', 'Yahya Abdul-Mateen II', 'Randall Park']",['James Wan'],"['superhero', 'secret society', 'half-brother', 'sequel', 'revenge', 'dysfunctional relationship', 'dc extended universe (dceu)', 'ancient evil', 'underwater world', 'vengeance', 'brother brother relationship']"
787699,Wonka,False,"['Comedy', 'Family', 'Fantasy']",en,2333.391,2023-12-06,117,7.2,1660,"['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Hugh Grant']",['Paul King'],"['chocolate', 'musical', 'prequel', 'duringcreditsstinger']"
1022796,Wish,False,"['Animation', 'Family', 'Fantasy', 'Adventure']",en,1662.711,2023-11-13,95,6.638,538,"['Ariana DeBose', 'Chris Pine', 'Alan Tudyk', 'Angelique Cabral']",['Chris Buck'],"['friendship', 'musical', 'computer animation', 'female protagonist', 'betrayal by friend', 'aftercreditsstinger', 'woman director', 'disabled person', 'star', 'corrupt government']"
940551,Migration,False,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action']",en,1486.31,2023-12-06,83,7.83,390,"['Kumail Nanjiani', 'Elizabeth Banks', 'Caspar Jennings', 'Tresi Gazal']",['Benjamin Renner'],"['duck', 'migration', 'flight', 'anthropomorphism', 'animal', 'overprotective father', 'bird']"
609681,The Marvels,False,"['Science Fiction', 'Adventure', 'Action']",en,1397.918,2023-11-08,105,6.415,1328,"['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Zawe Ashton']",['Nia DaCosta'],"['hero', 'superhero', 'space travel', 'based on comic', 'sequel', 'teenage girl', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'space adventure']"
1212073,Sixty Minutes,False,"['Action', 'Drama']",de,1028.278,2024-01-19,89,6.912,170,"['Emilio Sakraya', 'Dennis Mojen', 'Marie Mouroum', 'Florian Schmidtke']",['Oliver Kienle'],[]
965571,Patriots Time,False,"['Action', 'War']",ru,830.989,2022-04-28,101,9.7,16,"['Daniyar Alshinov', 'Sanurzhan Suleymenov', 'Dasten Shakirov', 'Sayat Isembayev']",['Serikbol Utepbergenov'],[]
1058694,Radical,False,['Drama'],en,774.377,2023-10-19,127,8.626,139,"['Eugenio Derbez', 'Daniel Haddad', 'Jennifer Trejo', 'Mia Fernanda Solis']",['Christopher Zalla'],"['usa–mexico border', 'teachers and students', 'border town']"
799155,Attack,False,"['Action', 'Science Fiction', 'Thriller']",hi,751.443,2022-04-01,123,7.412,85,"['John Abraham', 'Serena Walia', 'Rakul Preet Singh', 'Prakash Raj']",['Lakshya Raj Anand'],"['parliament', 'super soldier', 'soldier', 'indian army']"
955916,Lift,False,"['Action', 'Comedy', 'Crime', 'Drama']",en,740.964,2024-01-10,106,6.499,616,"['Kevin Hart', 'Gugu Mbatha-Raw', 'Sam Worthington', ""Vincent D'Onofrio""]",['F. Gary Gray'],"['gold', 'gang of thieves', 'heist', 'airplane hijacking', 'caper comedy', 'terrorist group', 'cyber terrorism', 'international manhunt', 'plane', 'art heist', 'gold heist']"
753342,Napoleon,False,"['History', 'War', 'Drama']",en,725.308,2023-11-22,158,6.533,1507,"['Joaquin Phoenix', 'Vanessa Kirby', 'Rupert Everett', 'Mark Bonnar']",['Ridley Scott'],"['empire', 'france', 'biography', 'napoleon bonaparte', 'based on true story', 'napoleonic wars', '19th century', 'biopic']"
906126,Society of the Snow,False,"['Drama', 'History']",es,668.258,2023-12-13,144,8.104,1543,"['Enzo Vogrincic', 'Agustín Pardella', 'Matías Recalt', 'Tomas Wolf']",['J. A. Bayona'],"['rescue', 'friendship', 'based on novel or book', 'prayer', '1970s', 'based on true story', 'rugby', 'uruguay', 'struggle for survival', 'mountain climbing', 'andes mountains', 'historical drama', 'plane crash']"
866398,The Beekeeper,False,"['Action', 'Thriller', 'Drama']",en,647.361,2024-01-10,105,7.331,284,"['Jason Statham', 'Emmy Raver-Lampman', 'Bobby Naderi', 'Josh Hutcherson']",['David Ayer'],"['potus', 'secret government agency', 'fbi agent', 'beekeepers', 'scammer', 'scam call center', 'retired assassin']"
1072790,Anyone But You,False,"['Comedy', 'Romance']",en,555.055,2023-12-21,104,7.446,168,"['Sydney Sweeney', 'Glen Powell', 'Alexandra Shipp', 'Michelle Hurd']",['Will Gluck'],"['australia', 'hiking', 'college', 'romantic comedy', 'based on play or musical', 'shakespeare in modern dress', 'aftercreditsstinger', 'duringcreditsstinger', 'fake dating', ""sister's wedding"", 'much ado about nothing']"
848187,Role Play,False,"['Action', 'Comedy', 'Romance']",en,510.517,2023-12-14,101,6.067,253,"['Kaley Cuoco', 'David Oyelowo', 'Bill Nighy', 'Connie Nielsen']",['Thomas Vincent'],"['assassin', 'husband wife relationship', 'secret life', 'hired killer', 'secretive wife', 'clueless husband', 'mother daughter relationship', 'berlin', 'woman spy']"
508883,The Boy and the Heron,False,"['Animation', 'Adventure', 'Fantasy']",ja,501.597,2023-07-14,124,7.465,871,"['Soma Santoki', 'Masaki Suda', 'Ko Shibasaki', 'Yoshino Kimura']",['Hayao Miyazaki'],"['based on novel or book', 'loss of loved one', 'world war ii', 'education', 'bullying', 'coming of age', 'spirituality', 'poverty', 'teenage boy', 'troubled childhood', 'moving to a city', 'anime', 'hand drawn animation', 'magic world', 'courage']"
792307,Poor Things,False,"['Science Fiction', 'Romance', 'Comedy']",en,494.869,2023-12-07,141,8.178,618,"['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Ramy Youssef']",['Yorgos Lanthimos'],"['based on novel or book', 'obsession', 'crooked lawyer', 'love', 'domestic abuse', 'female protagonist', 'doctor', 'prostitution', 'cruelty', 'scientist', 'disfigured face', 'exploring sexuality', 'female empowerment', 'female sexuality', 'brain transplant', 'absurdism', 'spousal abuse', ""women's liberation"", 'victorian era', 'frankenstein', 'body horror']"
872585,Oppenheimer,False,"['Drama', 'History']",en,463.169,2023-07-19,181,8.114,6461,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.']",['Christopher Nolan'],"['husband wife relationship', 'based on novel or book', 'politics', 'atomic bomb', 'professor', 'patriotism', 'new mexico', 'world war ii', 'hallucination', 'atomic bomb test', 'surrealism', 'physics', 'biography', 'berkeley', 'based on true story', 'physicist', 'jewish american', 'interrogation', 'guilt', 'nonlinear timeline', 'historical event', 'nuclear weapons', 'communism', 'red scare', 'mccarthyism', 'top secret project', 'moral dilemma', 'usa politics', '1940s', 'ethics', 'quantum physics', 'antisemitism', 'apocalyptic vision', 'new mexico desert', 'male protagonist', '20th century', 'manhattan project', 'affair', 'los alamos', 'hiroshima and nagasaki bombings']"
982940,Due Justice,False,"['Crime', 'Thriller', 'Action']",en,445.866,2023-11-24,98,7.143,7,"['Kellan Lutz', 'William Forsythe', 'Jeff Fahey', 'Efren Ramirez']",['Javier Reyna'],"['crime boss', 'vigilante', 'crime syndicate', 'murder of family', 'vengeance', 'revenge thriller', 'vigilante justice', 'organ trafficking', 'attorney', 'abducted daughter']"
1028703,The OctoGames,False,"['Thriller', 'Action', 'Horror']",en,443.902,2022-10-07,88,5.911,56,"['Lacy Hartselle', 'Cale Adcock', 'Luv Patel', 'Henry Haggard']",['Aaron Mirtes'],"['遊戲', '挑戰極限', '組團打怪']"
933131,Badland Hunters,False,"['Action', 'Science Fiction', 'Drama']",ko,443.734,2024-01-26,109,6.869,88,"['Ma Dong-seok', 'Lee Hee-jun', 'Lee Jun-young', 'Roh Jeong-eui']",['Heo Myeong-haeng'],"['post-apocalyptic future', 'earthquake', 'badlands', 'based on webcomic or webtoon', 'seoul, south korea']"
899445,Deep Fear,False,"['Action', 'Mystery', 'Thriller', 'Horror']",en,438.565,2023-10-18,84,5.917,103,"['Mãdãlina Ghenea', 'Ed Westwick', 'Macarena Gómez', 'Stany Coppet']",['Marcus Adams'],['shark']
926599,All Fun and Games,False,"['Horror', 'Thriller']",en,437.959,2023-08-30,77,5.8,64,"['Asa Butterfield', 'Natalia Dyer', 'Benjamin Evan Ainsworth', 'Laurel Marsden']",['Eren Celeboglu'],"['salem, massachusetts', 'deadly game', 'cursed object', 'salem witch']"
1230393,Monsters 103 Mercies Dragon Damnation,False,"['Animation', 'Action', 'Fantasy', 'Adventure']",ja,426.947,2024-01-21,26,8.378,37,"['Yoshimasa Hosoya', 'Kana Hanazawa', 'Hiroki Touchi', 'Mitsuaki Madono']",['Sunghoo Park'],"['based on manga', 'anime']"
1029575,The Family Plan,False,"['Action', 'Comedy']",en,421.368,2023-12-14,119,7.366,825,"['Mark Wahlberg', 'Michelle Monaghan', 'Maggie Q', 'Zoe Colletti']",['Simon Cellan Jones'],"['assassin', 'las vegas', 'family', 'duringcreditsstinger', 'hidden identity', 'family trip', 'roadtrip', 'former soldier', 'father and son']"
385687,Fast X,False,"['Action', 'Crime', 'Thriller']",en,380.186,2023-05-17,142,7.161,4786,"['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris']",['Louis Leterrier'],"['sequel', 'revenge', 'betrayal', 'racing', 'family', 'cliffhanger', 'cars']"
1211957,The Painter,False,"['Action', 'Thriller']",en,370.9,2024-01-05,100,7.209,43,"['Charlie Weber', 'Jon Voight', 'Madison Bailey', 'Max Montesi']",['Kimani Ray Smith'],"['killer', 'mysterious woman', 'black ops', 'ex-cia agent']"
918692,Granit,False,"['Action', 'War']",ru,360.245,2021-12-29,100,7.125,24,"['Aleksandr Baranovskiy', 'Oleg Chernov', 'Mark Gavrilov', 'Evgeny Dobryakov']",['Denis Neimand'],[]
810271,The Resort,False,['Horror'],en,353.605,2021-04-30,75,4.476,103,"['Bianca Haase', ""Brock O'Hurn"", 'Michael Vlamis', 'Michelle Randolph']",['Taylor Chien'],"['helicopter', 'hawaii', 'haunting', 'waterfall', 'resort', 'security guard', 'tropical island', 'ghost', 'told in flashback']"
